Pair,Cone,Match,Nodes_A,Nodes_B,Hash_A,Hash_B
adder_4bit vs adder_4bit_mut1,po_0,True,10,10,a5c607be097e,a5c607be097e
adder_4bit vs adder_4bit_mut1,po_1,True,18,18,07b0fd388876,07b0fd388876
adder_4bit vs adder_4bit_mut1,po_2,False,26,22,ce26cab8583b,6868075c69c0
adder_4bit vs adder_4bit_mut1,po_3,False,34,32,deda6e315551,54ce7d6a94a0
adder_4bit vs adder_4bit_mut1,po_4,False,34,32,d894b1866ad5,fd597897c57d
adder_4bit vs adder_4bit_mut2,po_0,True,10,10,a5c607be097e,a5c607be097e
adder_4bit vs adder_4bit_mut2,po_1,True,18,18,07b0fd388876,07b0fd388876
adder_4bit vs adder_4bit_mut2,po_2,True,26,26,ce26cab8583b,ce26cab8583b
adder_4bit vs adder_4bit_mut2,po_3,False,34,34,deda6e315551,2d7b4f44ce2f
adder_4bit vs adder_4bit_mut2,po_4,False,34,34,d894b1866ad5,f4765ed02d26
adder_4bit_O0 vs adder_4bit_O1,po_0,True,10,10,a5c607be097e,a5c607be097e
adder_4bit_O0 vs adder_4bit_O1,po_1,False,21,18,fb8f8013b080,07b0fd388876
adder_4bit_O0 vs adder_4bit_O1,po_2,False,32,26,f92c4341e064,ce26cab8583b
adder_4bit_O0 vs adder_4bit_O1,po_3,False,43,34,057fc382691a,deda6e315551
adder_4bit_O0 vs adder_4bit_O1,po_4,False,46,34,99598b1b4f0a,d894b1866ad5
adder_4bit_O1 vs adder_4bit_O2,po_0,True,10,10,a5c607be097e,a5c607be097e
adder_4bit_O1 vs adder_4bit_O2,po_1,True,18,18,07b0fd388876,07b0fd388876
adder_4bit_O1 vs adder_4bit_O2,po_2,True,26,26,ce26cab8583b,ce26cab8583b
adder_4bit_O1 vs adder_4bit_O2,po_3,True,34,34,deda6e315551,deda6e315551
adder_4bit_O1 vs adder_4bit_O2,po_4,True,34,34,d894b1866ad5,d894b1866ad5
adder_4bit vs counter_4bit,po_0,False,10,6,a5c607be097e,700661c84cf3
adder_4bit vs counter_4bit,po_1,False,18,8,07b0fd388876,031421c23010
adder_4bit vs counter_4bit,po_2,False,26,10,ce26cab8583b,7a009a437696
adder_4bit vs counter_4bit,po_3,False,34,12,deda6e315551,66dfa34105aa
adder_4bit vs counter_4bit,po_4,False,34,10,d894b1866ad5,c4afb03363d8
adder_4bit vs alu_simple,po_0,False,10,13,a5c607be097e,5f8ff3a5df3f
adder_4bit vs alu_simple,po_1,False,18,31,07b0fd388876,cbde49cb3478
adder_4bit vs alu_simple,po_2,False,26,42,ce26cab8583b,e70b09c23a10
adder_4bit vs alu_simple,po_3,False,34,51,deda6e315551,31ddaf48b7b3
adder_4bit vs alu_simple,po_4,False,34,44,d894b1866ad5,60cdc96b4535
