design_a,design_b,cone,match,size_a,size_b,hash_a,hash_b
adder_4bit_O0,adder_4bit_O1,po_0,True,10,10,3d8f317aff1562b5,3d8f317aff1562b5
adder_4bit_O0,adder_4bit_O1,po_1,False,21,18,4fceeea6d0094e89,da5aaebeb4c7edcb
adder_4bit_O0,adder_4bit_O1,po_2,False,32,26,8532b3ba751ac6a7,8a7bfbf9873cc57f
adder_4bit_O0,adder_4bit_O1,po_3,False,43,34,c99457dc43c085f9,0d0ceb5d1c1636af
adder_4bit_O0,adder_4bit_O1,po_4,False,46,34,ae622e41b2f73414,484d46c70cf695b0
adder_4bit_O0,adder_4bit_O2,po_0,True,10,10,3d8f317aff1562b5,3d8f317aff1562b5
adder_4bit_O0,adder_4bit_O2,po_1,False,21,18,4fceeea6d0094e89,da5aaebeb4c7edcb
adder_4bit_O0,adder_4bit_O2,po_2,False,32,26,8532b3ba751ac6a7,8a7bfbf9873cc57f
adder_4bit_O0,adder_4bit_O2,po_3,False,43,34,c99457dc43c085f9,0d0ceb5d1c1636af
adder_4bit_O0,adder_4bit_O2,po_4,False,46,34,ae622e41b2f73414,484d46c70cf695b0
adder_4bit_O1,adder_4bit_O2,po_0,True,10,10,3d8f317aff1562b5,3d8f317aff1562b5
adder_4bit_O1,adder_4bit_O2,po_1,True,18,18,da5aaebeb4c7edcb,da5aaebeb4c7edcb
adder_4bit_O1,adder_4bit_O2,po_2,True,26,26,8a7bfbf9873cc57f,8a7bfbf9873cc57f
adder_4bit_O1,adder_4bit_O2,po_3,True,34,34,0d0ceb5d1c1636af,0d0ceb5d1c1636af
adder_4bit_O1,adder_4bit_O2,po_4,True,34,34,484d46c70cf695b0,484d46c70cf695b0
adder_4bit,adder_4bit_mut1,po_0,True,10,10,3d8f317aff1562b5,3d8f317aff1562b5
adder_4bit,adder_4bit_mut1,po_1,True,18,18,da5aaebeb4c7edcb,da5aaebeb4c7edcb
adder_4bit,adder_4bit_mut1,po_2,False,26,22,8a7bfbf9873cc57f,42e21139a335d6fc
adder_4bit,adder_4bit_mut1,po_3,False,34,32,0d0ceb5d1c1636af,6400aae41f94f494
adder_4bit,adder_4bit_mut1,po_4,False,34,32,484d46c70cf695b0,599d8023d10de0cb
adder_4bit,adder_4bit_mut2,po_0,True,10,10,3d8f317aff1562b5,3d8f317aff1562b5
adder_4bit,adder_4bit_mut2,po_1,True,18,18,da5aaebeb4c7edcb,da5aaebeb4c7edcb
adder_4bit,adder_4bit_mut2,po_2,True,26,26,8a7bfbf9873cc57f,8a7bfbf9873cc57f
adder_4bit,adder_4bit_mut2,po_3,False,34,34,0d0ceb5d1c1636af,f02bc4dcc5860347
adder_4bit,adder_4bit_mut2,po_4,False,34,34,484d46c70cf695b0,213b6b0d7aef483b
